Protein IDs	Gene names	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
A0A024R4E5	HDLBP	929.16	689.43	182200	1945800	1149600	2303200	1676800	6225200	412490	814860	3075500	5455800	3153900	5416500	7567000	11396000	1140000	8142600	1531300	21433000	15660000	21590000	90488000	25435000	14023000	35012000	3161600	5061100	1189000	6254900	4854100	4813600	29729	116560	482940	2166000	1377400	1460200	1810500	1981500	869950	405690	69072	87901	43862	93889	651.98	42566
A0A087WZA9	TMEM120A;TMPIT	0	0	0	0	0	0	0	0	0	0	0	0	429030	2479800	23151000	12767000	158780	709100	0	2215000	826820	109310	155700	0	0	0	0	0	0	0	0	59171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A024RA52	PSMA2	0	0	0	2519600	680530	0	0	0	0	45554	0	0	0	0	2380400	0	0	906210	37157	1499700	0	0	601360	962090	323820	877720	136190	30505000	142240000	121940000	28280000	5689700	89680	243320	1323900	355460000	107540000	41381000	67182000	17453000	1133000	255520	74662	28347	0	0	0	70887
A0A024RBT2	DIABLO	14157	18962	0	5794100	48125000	48634000	46842000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1607800	3578800	2377100	0	0	0	0	0	882410	0	0	105530	0	0	0	0	0	0	0	0	0	0	0	0	20051	0
E9PRM7	SLC22A18	0	0	0	0	0	0	0	0	0	4236000	17570000	3398000	493880	0	3685700	0	0	0	0	308380	0	0	0	235880	97180	0	0	0	0	0	124840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A024RCL3	MICA	0	0	0	0	0	221610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217760	291110	308120	358710	391130	294760	288690	129780	253530	0	0
P46379-3	BAG6;BAT3	0	0	88729	227440	35669	0	0	0	0	0	0	120050	233080	1201300	941590	2868100	123510	484420	23597	409460	0	0	33170	322530	637360	938350	26593	130030	218730	2433100	1555300	1203000	0	19326	48466	97918	0	79813	47734	0	0	13281	0	0	0	0	0	0
A0A067XG54	ATP11C	0	0	0	0	0	566910	0	0	0	10582	217620	296630	0	0	0	0	110370	91722	0	1036700	6156300	2186700	613010	227680	26223	283560	4680.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15062	0	0	0	0	0	10881
A0A075B730	EPPK1	0	0	0	0	271090	0	341300	11940	18652	15468	0	0	0	0	0	54532	20762	36618	0	32852	0	0	45914	0	0	0	0	0	21301	24796	369480	412250	0	0	292470	0	551520	669880	2781500	425110	968540	4843	0	2076300	435370	443430	0	85693
A0A075B7B5	SRGAP2;SRGAP2B;SRGAP2C	0	0	0	0	0	32461	41553	821910	0	30616	0	0	0	0	0	980450	61538	260360	156740	252500	0	19395	100360	178250	728140	280820	102620	374300	0	0	0	165690	0	0	0	0	0	0	0	75821	0	0	0	0	0	10677	0	0
A0A087WSV0	BCL2L12	0	0	19874	2736600	1362500	898650	1357900	2413500	0	0	0	0	0	0	0	308970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
